Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Canada	Not Creative	Clothing knitting mills	3900	3750	3300	3113	2963	2913	2650	2700	2622	2620	
Canada	Not Creative	Clothing stores	165508	165608	164633	163542	162050	160525	158992	157633	156767	156850	
Canada	Not Creative	Coal mining	9792	10025	10267	10108	10267	10275	10433	10725	11000	10850	
Canada	Not Creative	"Coating, engraving, cold and heat treating and allied activities"	9883	9750	9725	10042	9933	9733	9933	10117	10350	10208	
Canada	Not Creative	Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance	54333	55125	56308	58225	60025	61700	63367	64808	67033	68333	
Canada	Not Creative	Commercial and industrial machinery and equipment rental and leasing	20167	20508	20867	21000	20875	21042	21650	22433	23200	23325	
Canada	Not Creative	Commercial and service industry machinery manufacturing	9608	9867	10150	10525	10808	11108	11533	12017	12425	12617	
Canada	Not Creative	Communications equipment manufacturing	30483	30417	30725	29900	29525	29258	28867	28325	27692	26933	
Canada	Not Creative	Community colleges and C.E.G.E.P.s	99417	98833	98500	98450	99050	99567	99925	100967	102200	103142	
Canada	Not Creative	"Community food and housing, and emergency and other relief services"	8800	8783	8575	8950	9050	9242	9200	9417	9483	9742	
Canada	Not Creative	Computer and communications equipment and supplies merchant wholesalers	35242	34917	34667	33958	33150	32583	32167	32467	33467	34900	
Canada	Not Creative	Computer and peripheral equipment manufacturing	18667	17633	16650	15683	14825	14158	13100	12217	11808	11375	
Canada	Not Creative	"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers"	59033	59658	60083	60308	60950	61708	63000	63975	64775	65233	
Canada	Not Creative	Consumer goods rental	22842	22275	21567	21308	21658	22133	22250	22192	21450	20608	
Canada	Not Creative	Converted paper product manufacturing	27092	27992	28475	28575	28300	28500	28158	26950	26008	25992	
Canada	Not Creative	Couriers	50708	50667	51433	51992	51983	52083	52333	51383	50192	50475	
Canada	Not Creative	Cut and sew clothing manufacturing	34733	35067	35233	36042	35917	36058	35300	34542	34058	33400	
Canada	Not Creative	Cutlery and hand tool manufacturing	6475	6692	6917	7108	7392	7792	7900	7933	7892	8108	
Canada	Not Creative	Dairy product manufacturing	25808	25308	25092	25092	24750	25125	25633	26067	26467	26858	
Canada	Not Creative	"Data processing, hosting, and related services"	7850	8000	7983	8008	7892	8025	8000	7600	7258	7150	
Canada	Not Creative	"Deep sea, coastal and Great Lakes water transportation"	11292	11292	11200	10783	10333	10050	9508	9300	9750	9892	
Canada	Not Creative	Defence services	35558	35208	35300	35525	35700	35600	35742	36400	36492	35883	
Canada	Not Creative	Department stores	162250	161517	160958	159708	161608	161842	162492	164175	165025	165933	
Canada	Not Creative	Depository credit intermediation	350950	351108	349733	345400	342317	338633	333167	330258	328500	325017	
Canada	Not Creative	Direct selling establishments	36183	36592	36842	37942	38875	39817	39900	39383	39333	39475	
Canada	Not Creative	Drinking places (alcoholic beverages)	40650	41425	41825	42167	42875	43242	43233	43042	42550	42283	
Canada	Not Creative	Dry cleaning and laundry services	27717	27575	27875	28408	28750	29100	29433	29125	28525	27958	
Canada	Not Creative	Educational support services	4958	4850	4967	5217	5325	5558	5925	6200	6458	6725	
Canada	Not Creative	Electric lighting equipment manufacturing	8400	8417	8208	8375	8925	8725	8450	8217	7767	7300	
Canada	Not Creative	"Electric power generation, transmission and distribution"	110217	110000	109625	109458	109183	109250	109567	109067	108408	107600	
Canada	Not Creative	Electrical equipment manufacturing	17842	17858	17883	18025	18325	18025	17692	17583	17400	16975	
Canada	Not Creative	"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers"	42900	43025	42425	42575	41533	39967	39467	38658	37658	36858	
Canada	Not Creative	Electronic and precision equipment repair and maintenance	20308	19658	19217	18567	18467	18383	18467	18792	19025	18925	
Canada	Not Creative	Electronic shopping and mail-order houses	12033	12608	12708	12900	12833	12583	12333	11967	11917	11917	
Canada	Not Creative	Electronics and appliance stores	76975	77408	77342	77992	77783	78342	78242	78092	77683	77325	
Canada	Not Creative	Elementary and secondary schools	715175	714383	715000	714292	713283	712442	709492	705067	701958	699558	
Canada	Not Creative	Employment services	84533	83875	83633	82617	82442	81267	80567	80350	79367	78875	
Canada	Not Creative	"Engine, turbine and power transmission equipment manufacturing"	5317	5708	5917	6225	6358	6458	6333	6225	6100	6050	
Canada	Not Creative	Fabric mills	4258	3950	4050	4217	4192	4158	4067	3950	3858	3667	
Canada	Not Creative	Facilities support services											
Canada	Not Creative	Farm product merchant wholesalers	10483	10167	9717	9667	9525	9492	9517	9308	8983	8775	
Canada	Not Creative	"Farm, lawn and garden machinery and equipment merchant wholesalers"	22358	22117	22108	22258	22092	22150	21917	21883	21717	21592	
